3,9,1117,23,48,86,1,1,1
3,1,105,463,368,346,1,1,1
3,11,80,206,359,129,1,1,1
3,6,772,78,50,99,1,1,1
3,2,655,363,291,383,1,1,1
3,12,329,851,168,228,1,1,1
3,3,1112,295,195,185,1,1,1
3,8,1025,20,45,95,1,1,1
3,4,775,213,173,145,1,1,1
3,7,859,8,38,86,1,1,1
3,5,704,5,86,78,1,1,1
3,10,1230,36,110,98,1,1,1
4,8,1022,16,45,88,1,1,1
4,3,1104,285,191,173,1,1,1
4,5,699,5,95,73,1,1,1
4,7,857,13,45,80,1,1,1
4,2,669,340,276,365,1,1,1
4,12,361,784,166,291,1,1,1
4,10,1225,33,111,94,1,1,1
4,4,784,200,165,138,1,1,1
4,11,89,203,361,138,1,1,1
4,6,775,76,46,100,1,1,1
4,1,117,451,358,333,1,1,1
4,9,1115,20,46,80,1,1,1
5,8,1032,20,31,80,1,1,1
5,6,782,68,43,104,1,1,1
5,11,82,203,371,141,1,1,1
5,12,402,745,120,316,1,1,1
5,10,1225,25,101,98,1,1,1
5,3,1104,270,180,165,1,1,1
5,1,134,445,353,326,1,1,1
5,7,864,6,33,85,1,1,1
5,4,782,195,160,138,1,1,1
5,9,1124,18,33,81,1,1,1
5,2,682,321,265,355,1,1,1
5,5,704,5,88,76,1,1,1
6,7,862,5,33,78,1,1,1
6,3,1097,255,176,161,1,1,1
6,12,430,685,123,331,1,1,1
6,6,777,63,51,98,1,1,1
6,11,95,205,373,135,1,1,1
6,1,147,433,341,325,1,1,1
6,2,685,300,253,340,1,1,1
6,10,1214,25,110,93,1,1,1
6,5,709,5,91,68,1,1,1
6,8,1027,16,38,75,1,1,1
6,9,1120,13,35,78,1,1,1
6,4,785,181,156,136,1,1,1
7,10,1217,21,105,93,1,1,1
7,6,779,65,55,90,1,1,1
7,7,857,3,46,78,1,1,1
7,8,1027,11,38,83,1,1,1
7,11,107,203,358,141,1,1,1
7,3,1100,245,170,160,1,1,1
7,4,789,178,151,131,1,1,1
7,12,447,671,111,308,1,1,1
7,9,1110,16,46,75,1,1,1
7,2,690,288,246,328,1,1,1
7,1,152,430,348,320,1,1,1
7,5,709,5,90,66,1,1,1
8,7,861,1,36,73,1,1,1
8,10,1209,15,106,96,1,1,1
8,3,1090,230,175,156,1,1,1
8,11,114,205,365,131,1,1,1
8,8,1029,15,36,71,1,1,1
8,12,467,633,111,300,1,1,1
8,6,784,56,50,93,1,1,1
8,2,702,276,236,310,1,1,1
8,5,711,1,81,68,1,1,1
8,1,169,420,328,316,1,1,1
8,4,792,173,151,123,1,1,1
8,9,1115,3,38,83,1,1,1
9,11,110,203,375,136,1,1,1
9,9,1115,3,36,78,1,1,1
9,5,712,2,81,68,1,1,1
9,1,175,416,323,310,1,1,1
9,4,790,163,151,133,1,1,1
9,7,861,1,35,71,1,1,1
9,10,1210,11,100,90,1,1,1
