0,6,764,101,55,101,1,1,1
0,5,692,13,93,80,1,1,1
0,11,44,205,373,131,1,1,1
0,2,619,441,331,446,1,1,1
0,10,1240,53,128,108,1,1,1
0,4,777,256,168,161,1,1,1
0,3,1124,360,220,203,1,1,1
0,7,857,26,45,85,1,1,1
0,1,54,493,396,370,1,1,1
0,8,1032,40,41,80,1,1,1
0,9,1125,43,45,78,1,1,1
1,6,762,95,55,101,1,1,1
1,11,45,213,373,123,1,1,1
1,8,1027,30,51,95,1,1,1
1,1,57,495,395,356,1,1,1
1,3,1122,350,220,195,1,1,1
1,5,694,15,95,76,1,1,1
1,7,857,23,38,91,1,1,1
1,9,1124,35,45,81,1,1,1
1,10,1239,45,121,113,1,1,1
1,4,779,246,165,156,1,1,1
1,2,627,426,320,438,1,1,1
2,2,645,385,301,408,1,1,1
2,12,292,907,175,171,1,1,1
2,10,1229,43,121,104,1,1,1
2,1,90,475,373,350,1,1,1
2,9,1119,28,48,83,1,1,1
2,7,855,13,51,94,1,1,1
2,8,1027,31,55,90,1,1,1
2,3,1119,320,200,183,1,1,1
2,11,72,206,363,136,1,1,1
2,5,694,8,96,76,1,1,1
2,4,782,226,163,151,1,1,1
2,6,769,88,55,101,1,1,1
3,9,1117,23,48,86,1,1,1
3,1,105,463,368,346,1,1,1
3,11,80,206,359,129,1,1,1
3,6,772,78,50,99,1,1,1
3,2,655,363,291,383,1,1,1
3,12,329,851,168,228,1,1,1
3,3,1112,295,195,185,1,1,1
3,8,1025,20,45,95,1,1,1
3,4,775,213,173,145,1,1,1
3,7,859,8,38,86,1,1,1
3,5,704,5,86,78,1,1,1
3,10,1230,36,110,98,1,1,1
4,8,1022,16,45,88,1,1,1
4,3,1104,285,191,173,1,1,1
4,5,699,5,95,73,1,1,1
4,7,857,13,45,80,1,1,1
4,2,669,340,276,365,1,1,1
4,12,361,784,166,291,1,1,1
4,10,1225,33,111,94,1,1,1
4,4,784,200,165,138,1,1,1
